p1_height,p2_height,p1_growth_days,p2_growth_days,p1_leaf_shape,p2_leaf_shape,p1_flower_color,p2_flower_color,p1_climate,p2_climate,p1_resistance,p2_resistance,p1_yield,p2_yield,same_family,target_height,target_growth_days,target_leaf_shape,target_flower_color,target_climate,target_resistance,target_yield_level
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,94.8,110.9,Intermediate,White,Tropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,89.5,99.5,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,96.6,99.6,Lanceolate,White,Tropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,101.0,108.1,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,100.9,96.7,Intermediate,White,Tropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,99.0,105.1,Intermediate,White,Tropical,Very High,Very High
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,94.3,101.7,Lanceolate,White,Tropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,90.9,102.8,Intermediate,White,Tropical,Very High,Very High
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,99.1,94.5,Intermediate,White,Tropical/Subtropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,99.8,102.6,Lanceolate,White,Tropical/Subtropical,Very High,Very High
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,101.3,109.4,Linear,White,Tropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,95.2,96.7,Linear,White,Tropical/Subtropical,Very High,Very High
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,94.4,97.6,Intermediate,White,Tropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,88.7,100.3,Linear,White,Tropical,Very High,Very High
75,120,85,120,1,3,0,0,8,0,2,1,3,4,0,103.4,106.0,Intermediate,White,Tropical,Very High,Very High
120,75,120,85,3,1,0,0,0,8,1,2,4,3,0,102.5,103.4,Linear,White,Tropical,Very High,Very High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,88.2,103.6,Lanceolate,White,Tropical/Subtropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,88.8,100.5,Intermediate,White,Tropical,High,High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,88.0,104.4,Lanceolate,White,Tropical/Subtropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,89.5,103.1,Lanceolate,White,Tropical/Subtropical,High,High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,88.6,99.3,Lanceolate,White,Tropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,92.8,96.3,Lanceolate,White,Tropical,High,High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,86.0,101.0,Intermediate,White,Tropical/Subtropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,88.3,101.5,Lanceolate,White,Tropical/Subtropical,High,High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,91.9,103.1,Intermediate,White,Tropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,83.1,96.1,Intermediate,White,Tropical,High,High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,87.4,103.5,Lanceolate,White,Tropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,89.4,91.3,Lanceolate,White,Tropical,High,High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,91.4,107.7,Intermediate,White,Tropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,83.8,97.3,Lanceolate,White,Tropical,High,High
75,100,85,110,1,3,0,0,8,0,2,2,3,3,0,90.2,89.9,Intermediate,White,Tropical/Subtropical,High,High
100,75,110,85,3,1,0,0,0,8,2,2,3,3,0,78.9,94.0,Lanceolate,White,Tropical,High,High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,77.1,99.3,Lanceolate,White,Temperate,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,83.5,90.9,Linear,White,Tropical/Subtropical,Very High,Very High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,86.7,93.5,Linear,White,Tropical/Subtropical,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,77.6,92.4,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,86.9,81.3,Linear,White,Temperate,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,80.5,91.8,Lanceolate,White,Temperate,Very High,Very High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,82.2,90.6,Intermediate,White,Tropical/Subtropical,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,84.4,84.8,Lanceolate,White,Tropical/Subtropical,Very High,Very High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,83.0,86.9,Linear,White,Tropical/Subtropical,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,90.6,96.0,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,76.3,93.1,Intermediate,White,Tropical/Subtropical,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,83.1,89.5,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,83.2,104.3,Intermediate,White,Temperate,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,78.7,99.1,Linear,White,Tropical/Subtropical,Very High,Very High
75,90,85,100,1,3,0,0,8,2,2,1,3,4,0,83.0,88.3,Intermediate,White,Tropical/Subtropical,Very High,Very High
90,75,100,85,3,1,0,0,2,8,1,2,4,3,0,79.7,98.7,Intermediate,White,Temperate,Very High,Very High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,82.8,92.7,Intermediate,White,Tropical/Subtropical,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,85.4,98.1,Linear,White,Tropical/Subtropical,High,High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,86.8,95.5,Intermediate,White,Mediterranean,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,84.9,99.0,Intermediate,White,Mediterranean,High,High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,87.9,95.9,Lanceolate,White,Mediterranean,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,79.5,96.5,Linear,White,Mediterranean,High,High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,88.0,98.5,Intermediate,White,Tropical/Subtropical,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,86.6,92.3,Intermediate,White,Mediterranean,High,High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,94.0,102.6,Linear,White,Mediterranean,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,88.1,94.2,Lanceolate,White,Mediterranean,High,High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,85.7,103.7,Lanceolate,White,Mediterranean,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,84.6,96.8,Linear,White,Mediterranean,High,High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,86.9,91.8,Intermediate,White,Mediterranean,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,90.1,95.0,Lanceolate,White,Tropical/Subtropical,High,High
75,100,85,110,1,3,0,0,8,3,2,2,3,3,0,80.7,95.8,Intermediate,White,Mediterranean,High,High
100,75,110,85,3,1,0,0,3,8,2,2,3,3,0,87.2,99.0,Intermediate,White,Tropical/Subtropical,High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,144.4,72.1,Palmate,Yellow,Tropical/Subtropical,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,144.4,68.2,Intermediate,Intermediate,Tropical/Temperate,Very High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,139.0,73.1,Intermediate,Intermediate,Tropical/Temperate,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,146.2,68.1,Lanceolate,Yellow,Tropical/Subtropical,Very High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,134.2,76.3,Lanceolate,Intermediate,Tropical/Temperate,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,135.6,69.6,Lanceolate,Intermediate,Tropical/Subtropical,Very High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,140.2,66.1,Lanceolate,Intermediate,Tropical/Temperate,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,125.7,66.3,Palmate,Yellow,Tropical/Temperate,Very High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,139.1,69.9,Intermediate,White,Tropical/Temperate,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,136.1,70.3,Intermediate,Yellow,Tropical/Temperate,Very High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,133.0,74.1,Palmate,Yellow,Tropical/Temperate,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,120.4,72.3,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,139.2,71.8,Intermediate,Intermediate,Tropical/Temperate,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,135.7,70.4,Intermediate,White,Tropical/Temperate,Very High,High
75,200,85,55,1,4,0,1,8,9,2,1,3,3,0,128.8,73.8,Intermediate,Yellow,Tropical/Subtropical,Very High,High
200,75,55,85,4,1,1,0,9,8,1,2,3,3,0,141.7,68.0,Intermediate,Intermediate,Tropical/Temperate,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,116.3,79.5,Intermediate,White,Tropical/Subtropical,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,107.5,77.2,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,113.9,80.3,Lanceolate,Intermediate,Tropical/Subtropical,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,118.5,75.6,Intermediate,Yellow,Tropical/Subtropical,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,112.9,77.1,Lanceolate,Intermediate,Arid,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,112.6,87.6,Intermediate,Intermediate,Arid,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,113.0,85.4,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,116.6,84.0,Intermediate,White,Tropical/Subtropical,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,104.6,76.7,Intermediate,Yellow,Tropical/Subtropical,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,120.6,76.7,Palmate,Intermediate,Arid,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,123.4,74.4,Palmate,Intermediate,Arid,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,106.0,80.8,Lanceolate,Intermediate,Tropical/Subtropical,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,119.2,82.4,Intermediate,Yellow,Arid,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,110.7,76.3,Lanceolate,Intermediate,Arid,Very High,High
75,150,85,75,1,4,0,1,8,4,2,1,3,3,0,102.9,70.6,Lanceolate,White,Tropical/Subtropical,Very High,High
150,75,75,85,4,1,1,0,4,8,1,2,3,3,0,99.7,76.1,Palmate,Yellow,Tropical/Subtropical,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,65.7,68.2,Intermediate,White,Tropical/Subtropical,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,67.4,66.3,Intermediate,White,Tropical/Subtropical,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,68.4,79.7,Lanceolate,White,Tropical/Subtropical,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,62.5,67.0,Lanceolate,White,Temperate,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,63.7,69.3,Ovate,White,Temperate,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,67.5,69.1,Ovate,White,Tropical/Subtropical,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,62.2,72.6,Ovate,White,Temperate,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,74.4,67.2,Lanceolate,White,Temperate,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,63.5,77.4,Intermediate,White,Tropical/Subtropical,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,63.3,73.9,Intermediate,White,Tropical/Subtropical,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,66.3,67.6,Intermediate,White,Tropical/Subtropical,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,70.6,73.0,Lanceolate,White,Temperate,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,64.8,70.8,Ovate,White,Temperate,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,66.9,69.6,Intermediate,White,Tropical/Subtropical,Very High,High
75,60,85,60,1,0,0,0,8,2,2,1,3,3,0,65.5,69.0,Lanceolate,White,Tropical/Subtropical,Very High,High
60,75,60,85,0,1,0,0,2,8,1,2,3,3,0,70.2,75.4,Ovate,White,Tropical/Subtropical,Very High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,134.4,78.2,Intermediate,White,Tropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,121.5,74.0,Ovate,White,Tropical/Subtropical,High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,122.8,82.2,Intermediate,White,Tropical/Subtropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,119.6,72.4,Intermediate,White,Tropical,High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,126.2,85.4,Intermediate,White,Tropical/Subtropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,118.5,77.7,Ovate,White,Tropical/Subtropical,High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,123.2,82.0,Ovate,White,Tropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,123.3,79.7,Intermediate,White,Tropical,High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,143.5,79.0,Ovate,White,Tropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,129.6,83.1,Intermediate,White,Tropical/Subtropical,High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,128.0,80.9,Ovate,White,Tropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,122.4,81.6,Ovate,White,Tropical/Subtropical,High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,131.3,79.6,Intermediate,White,Tropical/Subtropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,118.5,78.7,Ovate,White,Tropical,High,High
75,180,85,80,1,0,0,0,8,0,2,2,3,3,0,129.5,75.7,Lanceolate,White,Tropical,High,High
180,75,80,85,0,1,0,0,0,8,2,2,3,3,0,128.2,82.1,Lanceolate,White,Tropical,High,High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,85.8,94.9,Intermediate,Purple,Temperate,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,95.8,92.3,Ovate,White,Temperate,High,Very High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,85.6,87.5,Intermediate,Intermediate,Tropical/Subtropical,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,90.9,99.4,Intermediate,Intermediate,Tropical/Subtropical,High,Very High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,90.8,92.0,Lanceolate,Intermediate,Temperate,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,83.1,87.9,Intermediate,Intermediate,Temperate,High,Very High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,85.0,89.7,Intermediate,Purple,Temperate,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,87.0,91.2,Lanceolate,Intermediate,Temperate,High,Very High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,88.8,86.7,Ovate,Purple,Tropical/Subtropical,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,81.4,92.2,Lanceolate,Intermediate,Temperate,High,Very High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,82.7,96.6,Intermediate,Intermediate,Temperate,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,88.9,92.2,Intermediate,Intermediate,Temperate,High,Very High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,83.5,84.8,Intermediate,Intermediate,Temperate,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,81.7,94.8,Intermediate,Intermediate,Tropical/Subtropical,High,Very High
75,100,85,95,1,0,0,2,8,2,2,2,3,4,0,92.2,89.8,Lanceolate,Intermediate,Tropical/Subtropical,High,Very High
100,75,95,85,0,1,2,0,2,8,2,2,4,3,0,87.8,93.1,Ovate,Purple,Temperate,High,Very High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,62.0,112.6,Compound,Intermediate,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,61.7,104.0,Lanceolate,Intermediate,Tropical/Subtropical,Very High,High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,61.9,100.9,Compound,White,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,60.1,114.2,Lanceolate,White,Tropical/Subtropical,Very High,High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,64.3,114.8,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,63.7,105.1,Intermediate,White,Tropical/Subtropical,Very High,High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,65.8,117.2,Lanceolate,Yellow,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,57.9,108.3,Intermediate,White,Tropical/Subtropical,Very High,High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,61.3,111.9,Intermediate,White,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,63.2,110.1,Compound,White,Tropical/Subtropical,Very High,High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,61.6,101.8,Intermediate,Yellow,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,63.0,103.9,Lanceolate,White,Tropical/Subtropical,Very High,High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,65.5,109.4,Compound,Yellow,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,54.7,107.1,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
75,50,85,130,1,9,0,1,8,8,2,1,3,3,0,60.9,101.4,Compound,White,Tropical/Subtropical,Very High,High
50,75,130,85,9,1,1,0,8,8,1,2,3,3,0,61.4,99.5,Compound,Intermediate,Tropical/Subtropical,Very High,High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,69.7,94.1,Intermediate,White,Cool Temperate,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,77.2,90.9,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,75.4,88.8,Intermediate,White,Tropical/Subtropical,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,73.6,95.1,Intermediate,White,Cool Temperate,Very High,Very High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,74.8,90.8,Pinnate,White,Cool Temperate,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,78.8,86.9,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,78.3,80.6,Lanceolate,White,Cool Temperate,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,72.4,88.8,Intermediate,White,Cool Temperate,Very High,Very High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,76.2,88.3,Intermediate,White,Cool Temperate,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,75.9,91.0,Pinnate,White,Cool Temperate,Very High,Very High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,71.1,93.8,Pinnate,White,Tropical/Subtropical,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,72.7,87.2,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,74.5,86.8,Intermediate,White,Tropical/Subtropical,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,73.8,78.0,Pinnate,White,Cool Temperate,Very High,Very High
75,70,85,90,1,7,0,0,8,6,2,1,3,4,1,65.5,88.4,Lanceolate,White,Cool Temperate,Very High,Very High
70,75,90,85,7,1,0,0,6,8,1,2,4,3,1,72.8,89.6,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,52.5,94.5,Intermediate,Intermediate,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,52.7,89.7,Intermediate,White,Tropical/Subtropical,High,High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,51.8,90.3,Intermediate,Intermediate,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,50.5,99.4,Intermediate,White,Tropical/Subtropical,High,High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,51.9,96.4,Cordate,Intermediate,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,53.6,91.7,Intermediate,White,Tropical/Subtropical,High,High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,51.6,91.6,Cordate,Intermediate,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,49.9,87.3,Intermediate,Purple,Tropical/Subtropical,High,High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,56.8,93.3,Lanceolate,Purple,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,54.1,89.8,Cordate,White,Tropical/Subtropical,High,High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,53.8,90.8,Intermediate,Intermediate,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,55.0,96.6,Intermediate,White,Tropical/Subtropical,High,High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,54.2,100.9,Lanceolate,Intermediate,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,54.2,91.5,Cordate,Purple,Tropical/Subtropical,High,High
75,30,85,100,1,5,0,2,8,8,2,2,3,3,0,52.4,94.8,Lanceolate,Purple,Tropical/Subtropical,High,High
30,75,100,85,5,1,2,0,8,8,2,2,3,3,0,52.3,101.8,Lanceolate,Purple,Tropical/Subtropical,High,High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,171.4,159.9,Palmate,White,Tropical/Subtropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,198.4,170.6,Intermediate,White,Tropical,Very High,Very High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,187.3,171.7,Intermediate,White,Tropical/Subtropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,182.0,172.8,Intermediate,White,Tropical,Very High,Very High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,190.3,177.7,Intermediate,White,Tropical/Subtropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,175.6,184.3,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,184.1,175.4,Lanceolate,White,Tropical/Subtropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,184.3,171.2,Lanceolate,White,Tropical/Subtropical,Very High,Very High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,176.6,172.5,Lanceolate,White,Tropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,191.1,170.9,Lanceolate,White,Tropical/Subtropical,Very High,Very High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,192.9,185.9,Intermediate,White,Tropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,172.0,174.6,Intermediate,White,Tropical,Very High,Very High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,178.0,181.6,Intermediate,White,Tropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,186.1,173.4,Lanceolate,White,Tropical,Very High,Very High
75,300,85,270,1,4,0,0,8,0,2,3,3,4,0,206.7,173.1,Lanceolate,White,Tropical/Subtropical,Very High,Very High
300,75,270,85,4,1,0,0,0,8,3,2,4,3,0,196.3,171.0,Intermediate,White,Tropical/Subtropical,Very High,Very High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,62.6,75.9,Intermediate,Intermediate,Cool Temperate,Very High,High
50,75,70,85,6,1,1,0,6,8,1,2,3,3,0,60.2,76.8,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,62.5,78.3,Oblong,Yellow,Cool Temperate,Very High,High
50,75,70,85,6,1,1,0,6,8,1,2,3,3,0,67.8,73.6,Intermediate,Intermediate,Cool Temperate,Very High,High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,66.8,76.7,Lanceolate,White,Cool Temperate,Very High,High
50,75,70,85,6,1,1,0,6,8,1,2,3,3,0,62.0,83.7,Intermediate,Yellow,Cool Temperate,Very High,High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,64.6,77.9,Lanceolate,Intermediate,Tropical/Subtropical,Very High,High
50,75,70,85,6,1,1,0,6,8,1,2,3,3,0,63.0,82.5,Intermediate,White,Tropical/Subtropical,Very High,High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,65.7,78.0,Oblong,Intermediate,Tropical/Subtropical,Very High,High
50,75,70,85,6,1,1,0,6,8,1,2,3,3,0,57.2,72.5,Intermediate,White,Cool Temperate,Very High,High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,63.1,70.5,Oblong,Intermediate,Tropical/Subtropical,Very High,High
50,75,70,85,6,1,1,0,6,8,1,2,3,3,0,56.3,85.4,Oblong,Intermediate,Tropical/Subtropical,Very High,High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,65.9,80.3,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
50,75,70,85,6,1,1,0,6,8,1,2,3,3,0,59.0,73.7,Oblong,Intermediate,Cool Temperate,Very High,High
75,50,85,70,1,6,0,1,8,6,2,1,3,3,0,60.8,85.8,Intermediate,Intermediate,Tropical/Subtropical,Very High,High
